ID,company_name,city,state,location,size,website,industry,description,revenue,founded,company_type,logo_url
1,KBI Biopharma,Durham,NC,"Durham, NC","1,001-5,000 employees",http://www.kbibiopharma.com/,Biotechnology Research,"KBI Biopharma is an award-winning biopharmaceutical contract services organization providing fully-integrated, accelerated drug development and biomanufacturing services to pharmaceutical and biotechnology companies globally.

With each of our 500+ client partners, we have worked closely to personalize and rapidly accelerate their drug development programs. Built upon a foundation of world-class analytical capabilities, we deliver efficient process development and clinical and commercial cGMP manufacturing services for mammalian, microbial, and cell therapy programs.

KBI is proud to be a JSR Life Sciences Company.",Unknown,1996.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQF_mJOd2UXOXg/company-logo_200_200/0/1635209659306?e=1677715200&v=beta&t=epXDwRO5QY0lMh3B2pHYFD8HO-1Mns25cpoGTPWBU8o
2,DT Professional Services,Los Angeles,CA,"Los Angeles, California",11-50 employees,http://www.dtprosusa.com/,IT Services and IT Consulting,"DT Professional Services is a SBA 8(a) and HUBZone certified Small Disadvantaged Business. Our relentless commitment to quality, as evidenced by our CMMI Level 3 (Services) and ISO 9001:2015 & 27001:2103 certifications, enable us to build award-winning custom software solutions for our prestigious clients. Established in 2013, we bring over 50 years of cumulative experience in delivering technology services & solutions that specialize in web & custom application development, DevSecOps, Project/Program management, Mobile, Robotic Process Automation (RPA), Artificial Intelligence (AI), Machine Learning, Analytics, Advanced Analytics & Cloud Computing services.",Unknown,2013.0,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHjzvUcy-gpbg/company-logo_200_200/0/1519897338371?e=1677715200&v=beta&t=sE2V4wdDCpm4gNAk4m1Wwt6XFECr4mvsDXjJ9_R_iwk
3,Activision Blizzard Media,San Francisco,CA,"San Francisco, CA",51-200 employees,http://www.activisionblizzardmedia.com/,Advertising Services,"Activision Blizzard Media is the gateway for brands to the #1 cross-platform gaming company in the western world, with hundreds of millions of players across over 190 countries. Our legendary portfolio includes iconic mobile game franchises such as Candy Crush™, esports opportunities like the Call of Duty® and Overwatch® Leagues, and some of the top PC and console gaming franchises such as World of Warcraft®, Call of Duty®, and StarCraft®. The idea is simple: great game experiences offer great marketing experiences. ",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFB0BBQMa_JvA/company-logo_200_200/0/1542121150661?e=1677715200&v=beta&t=DfHiHepaKNmZ6612xddp4W06CztzUxPXN3Wu9UUlRA8
4,"Voloridge Investment Management, LLC",Jupiter,FL,"Jupiter, FL",51-200 employees,http://www.voloridge.com/,Financial Services,"Voloridge Investment Management was launched in 2009 by David S. Vogel with the goal of creating a world-class quantitative and systematic investment management firm.  The firm is comprised of award-winning predictive modelers, experienced data analysts, technologists and a dynamic group of back-office professionals, all working together.  ",Unknown,2009.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGacKC1P5optA/company-logo_200_200/0/1581713549177?e=1677715200&v=beta&t=WBEo0up6TdC4UL2cHl_UzGQHsSisPTGQLhNobvEG-_U
5,Santee Cooper,Moncks Corner,SC,"Moncks Corner, SC","1,001-5,000 employees",http://www.santeecooper.com/,Utilities,"Santee Cooper is South Carolina’s largest power producer, the largest Green Power generator and the ultimate source of electricity for 2 million people across the state. Through its low-cost, reliable and environmentally responsible electricity and water services, and through innovative partnerships and initiatives that attract and retain industry and jobs, Santee Cooper powers South Carolina toward a bright tomorrow. Today.

By participating on Santee Cooper's LinkedIn page, you are agreeing to the following community guidelines: https://scpsa.us/35jRkvr",Unknown,1934.0,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHtgmCgF1Uqyg/company-logo_200_200/0/1519856580287?e=1677715200&v=beta&t=AhCxet4BsEIBi-wQQAVLlh1o5jUAAaV_0NnO1d4ZZog
6,BrainWorks,Unknown,Unknown,Unknown,11-50 employees,http://www.brainworksinc.com/,Staffing and Recruiting,"Since 1991, BrainWorks has been providing smarter executive recruiting services in the practice areas of Consumer Insights, Consumer Products, Decision Sciences, Market Research, and Relationship Marketing.

We find leaders. And innovators. And do-ers. We help our clients find the people who will drive their future success.

At our core, we are executive recruiters. We find talent. 

Great jobs. Better insight. Exceptional support.
And at BrainWorks, we have the connections to lead you to exceptional career options in your field.
When you partner with BrainWorks, we act as your career advisor and opportunity scout. Our job is to find the opportunities that are the best match to your skills, experience and ambitions.

Better talent. Faster hires.
Our professional researchers will source the best talent in the field…not those just looking for work.
When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.

At BrainWorks, we pride ourselves on developing long-term consultative relationships that will help you enhance your career or assist your company to staff more strategically. When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.",Unknown,1991.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHZS8Pr6ss0JQ/company-logo_200_200/0/1587585622836?e=1677715200&v=beta&t=IUEUjwGz1CCR6HPqxhK-bDmoHMbEv3vUSIpHrfjmxLQ
7,AE Studio,Los Angeles,CA,"Los Angeles, California",51-200 employees,https://ae.studio/,Software Development,"AE is a software development, data science, and design agency. That part is common. The rest is extraordinary. Founded in 2016, AE has bootstrapped its way to 150+ individuals working to increase human agency through technology. No venture capital. No private equity. No outside shareholders. This allows a longtermist perspective for clients and employees that leads to unparalleled thought-partnership and creativity.

Some of the profits from our consulting business are channeled into skunkworks - internal, agency increasing projects we incubate, turning our world-class team into founders themselves. Some are kept, some are sold! Like EletricSMS which we sold for a few million dollars. Profits from these ventures are deployed towards our big-hairy-audacious-goal: the development of a brain computer interface (BCI) operating system that increases agency rather than interruption of our thoughts with ads.

Let our agency increase yours.",Unknown,2016.0,Unknown,https://media-exp1.licdn.com/dms/image/D4D0BAQG8JvAcbW9i4g/company-logo_200_200/0/1667589214627?e=1677715200&v=beta&t=9ijuKKO-EnzGX8MlFcKUOGrtTWrKurKV65oiY48ttu4
8,Chewy,Plantation,FL,"Plantation, Florida","10,001+ employees",careers.chewy.com/,Retail,"Launched in 2011, we offer the personalized service of a neighborhood pet store alongside the convenience and speed of e-commerce. Customers love shopping our wide selection of products of more than 45,000 items (including our Private brands and prescription Rx food and Rx medication products), which we offer at competitive prices, fast 1-2 day shipping and around-the-clock convenience that only e-commerce can offer.

Our commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need.

As an e­-commerce company, product innovation drives our operations, and our team is constantly striving to find new and better ways to improve our customers’ experience. From an easy­ to­ navigate website and highly­ rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.

We're also growing — fast. No longer a young pup, we're proud to be one of the fastest growing e-commerce companies of all time. 

With growth comes the exciting opportunity to be a part of a world-class organization of  diverse team members, responsible for driving our latest innovations and customer experiences.",Unknown,2011.0,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGLd0ulL8wFyw/company-logo_200_200/0/1629734264472?e=1677715200&v=beta&t=jsWwQ6ja79OjkwoHdUmgXBPty6a28dwDaCeVhmcfPvA
9,Heath Consultants Incorporated,Houston,TX,"Houston, Texas","1,001-5,000 employees",https://heathus.com/,Oil and Gas,"Since 1933 Heath Consultants Incorporated has led the industry in the safety of natural gas utilities infrastructure through the innovative and conscientious actions of our employees. Our continued field services growth is due in large part to the addition of new field services, such as underground utility line locating, meter and corrosion services to our utility partners outside of our core emissions reduction focus.

Heath’s innovative products have led to safer survey practices for both gas utilities and within our own field services division. These breakthroughs in technology are due in large part to the efforts of our engineering and marketing experts who research and develop new products and services through strategic partnerships with well recognized research and development organizations and industry trade associations.

Heath is certified as a women’s business enterprise by the Women’s Business Enterprise National Council (WBENC), the nation’s largest third-party certifier of the businesses owned and operated by women in the U.S.

Every aspect of Heath's business is rooted in our seven core values: 

•Safety is our number one priority
•Communicate openly and honestly.
•Approach all that we do with a sense of urgency.
•Always do the right thing.
•Treat others as you wish to be treated.
•Strive for excellence in everything we do.
•Provide an environment that nurtures growth and enjoyment.

Heath relies on these values to deliver superior products and service to communities across the globe.",Unknown,1933.0,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQG1W9aPe4iN1w/company-logo_200_200/0/1665160930174?e=1677715200&v=beta&t=QJQL9rxEOdDX6_N7hzEIjYvS2-LE33tvPUXYMl17pck
10,Numerator,Chicago,IL,"Chicago, Illinois","1,001-5,000 employees",https://www.numerator.com/,Market Research,"Numerator is a data and tech company bringing speed and scale to market research.  Numerator blends first-party data from over 1 million US households with advanced technology to provide unparalleled 360-degree consumer understanding for the market research industry that has been slow to change. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The majority of Fortune 100 companies are Numerator clients.",Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpsGVksPQoWQ/company-logo_200_200/0/1656701410990?e=1677715200&v=beta&t=BhFBtjIY913CsWSsztVHyOPKimG8cc11ZZ7RqbA0f2s
