name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url,
Walmart,"https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm","Bentonville, AR",10000+ Employees,1962,Company - Public (WMT),General Merchandise & Superstores,"What started small, with a single discount store and the simple idea of selling more for less, has grown over the last 50 years into the largest retailer in the world. Each week, approximately 220 million customers and members visit approximately 10,500 stores and clubs under 48 banners in 24 countries and eCommerce websites. With fiscal year 2021 revenue of $559 billion, Walmart employs over 2.3 million associates worldwide. Walmart continues to be a leader in sustainability, corporate philanthropy and employment opportunity. It’s all part of our unwavering commitment to creating opportunities and bringing value to customers and communities around the world.

Working at Walmart

Our people make the difference. That phrase started as a meeting theme in 1979 and has since been our way of thinking. We couldn’t serve our customers without the continued support of our greatest asset: our associates. We’re proud to support them by offering jobs at all levels – and investing in our workforce through training and skills development so that all jobs lead to careers.

At Walmart, we remind ourselves each day that our work isn’t just about what we achieve but how we achieve it. The way we conduct our business is as important as the products we sell and the services we provide. That means complying with the laws of the communities where we do business. But that is not enough. Associates who work at Walmart are expected to operate based on our high standards and values—respect, service, excellence, and integrity.

Acting consistently with these values demands that a culture of integrity guides all our decisions. Our Code of Conduct reflects who we are as a company and how we bring our culture to life in our work every day. It applies to every Walmart associate. We also expect our business partners to embrace our values and meet these high standards. Associates and partners who do not share these values do not belong at Walmart.

Our commitment to integrity is reflected in our actions. From ensuring the food and products we sell are safe; to using technology and data ethically and responsibly; to investigating concerns raised by our customers, associates, and stakeholders. Our commitments are embedded into every action we take.

Integrity builds trust. That’s why our associates, customers, investors, suppliers, and business partners choose Walmart—they know we are a business they can trust.",$10+ billion (USD),http://careers.walmart.com/,
Takeda Pharmaceutical,"https://www.glassdoor.com/Overview/Working-at-Takeda-Pharmaceuticals-EI_IE7774.11,33.htm","Tokyo, Japan",10000+ Employees,1781,Company - Private,Biotech & Pharmaceuticals,"Takeda is a patient-focused, values-based, R&D-driven global biopharmaceutical company. Rooted in over 240 years of distinguished history, our pursuit of potentially life-changing treatments for patients is what drives us forward today. We bring together the unique and diverse ... Read more",$10+ billion (USD),http://www.takeda.com/,
Scismic,"https://www.glassdoor.com/Overview/Working-at-Scismic-EI_IE5220831.11,18.htm","Cambridge, MA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.scismic.com/,
National Security Agency,"https://www.glassdoor.com/Overview/Working-at-National-Security-Agency-EI_IE41534.11,35.htm","Fort George G Meade, MD",Unknown,,Government,National Agencies,"Challenging, rewarding, life-changing, history-making – there’s no single way to describe a career at NSA. From STEM professionals to foreign language experts, intelligence analysts to business managers, NSA offers extraordinary opportunities to professionals and students in a wide variety of fields.

NSA is a world-class cyber center, the largest employer of mathematicians in the country, as well as a national leader in foreign language analysis and research. If you’re looking to contribute to something bigger than yourself, something that’s a matter of national security, join NSA.

Visit our careers site at https://www.intelligencecareers.gov/nsa/index.html",Unknown / Non-Applicable,http://www.intelligencecareers.gov/nsa,
The Home Depot,"https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm","Atlanta, GA",10000+ Employees,1978,Company - Public (HD),Home Furniture & Housewares Stores,"You may’ve seen our stores in your neighborhood because if you’re like 90% of the U.S. population, you live within 10 miles of one of our stores. Our 2,200 retail stores are an important part of our company and it takes a big behind-the-scenes team too. Let’s look at some of the reasons why more than 400,000 people choose to work with us:

• We are the world’s largest home improvement retailer. Our scale and resources let us have a huge impact on the world of retail and in local communities.

• In addition to our stores, we have distribution centers across the country and corporate offices in several major cities. There’s a good chance your next opportunity could be right in your backyard.

• We take care of our people. Competitive pay, consistent schedules, great benefits, and even pet insurance are just a few of the highlights.

• Over 35,000 veterans are continuing their careers with us. We value their unique skills, and we also help military spouses maintain and grow their careers when they move.

• We have an inclusive, diverse culture, and we believe in giving back. Here, you can be yourself and be part of something much bigger.

We’re proud to be recognized for being a great place to work by the following groups:
• Forbes Best Employers for Diversity 2020
• Comparably: Happiest Employees – Large Company Category and Best Companies for Work-Life Balance
• Mogul Top 100 Workplaces with the Greatest D&I Initiatives
• Military Friendly Employer – since 2001
• Forbes Best Employers for New Grads",$10+ billion (USD),http://www.careers.homedepot.com/,
USAA,"https://www.glassdoor.com/Overview/Working-at-USAA-EI_IE3033.11,15.htm","San Antonio, TX",10000+ Employees,1922,Company - Private,Insurance Carriers,"ABOUT USAA
At USAA, our mission is more than just words – it’s the reason we do what we do. Our goal is to be the military community’s provider of choice for insurance, banking, financial products and advice.

Founded in 1922 by a group of 25 Army officers, we have a strong track record of providing members with the highest level of care and support. We live by our core values of service, loyalty, honesty and integrity, and take pride in helping our members achieve a better financial future.

We’ve now grown to 36,000 employees, working every day to serve more than 13 million members. Whether you’re personally connected to the military or not, we’re always looking for talented people who share our passion. Ready to join us?

USAA HISTORY
Founded in 1922 by a group of military officers, USAA is among the leading providers of insurance, banking and
investment and retirement solutions to 13 million members of the U.S. military, veterans who have honorably served and
their families. Headquartered in San Antonio, Tex., USAA has offices in seven U.S. cities and three overseas locations and
employees more than 36,000 people worldwide. Each year, the company contributes to national and local nonprofits in
support of military families and communities where employees live and work.",$25 to $100 million (USD),http://www.usaajobs.com/,
UCLA Health,"https://www.glassdoor.com/Overview/Working-at-UCLA-Health-EI_IE321780.11,22.htm","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,"For more than half a century, UCLA Health has provided the best in healthcare and the latest in medical technology to the people of Los Angeles and throughout the world.

Comprised of Ronald Reagan UCLA Medical Center, UCLA Medical Center Santa Monica, Resnick Neuropsychiatric Hospital at UCLA, UCLA Mattel Children's Hospital, and the UCLA Medical Group with its wide-reaching system of primary-care and specialty-care offices throughout the region, UCLA Health is among the most comprehensive and advanced healthcare systems in the world.

Our physicians are world leaders in the diagnosis and treatment of complex illnesses, and our hospitals are among the best in the country. Consistently ranked one of the top ten hospitals in the nation and the best medical center in the western United States by U.S. News & World Report, Ronald Reagan UCLA Medical Center is at the cutting edge of biomedical research, and our doctors and scientists are leaders in performing pioneering work across an astounding range of disciplines, from organ transplantation and cardiac surgery to neurosurgery and cancer treatment, and bringing the latest discoveries to virtually every field of medicine.",Unknown / Non-Applicable,http://www.uclahealthcareers.org/,
Banked,"https://www.glassdoor.com/Overview/Working-at-Banked-EI_IE3531852.11,17.htm","Durham, United Kingdom",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.banked.com/,
MAPFRE,"https://www.glassdoor.com/Overview/Working-at-MAPFRE-Insurance-EI_IE679873.11,27.htm","Webster, MA",1001 to 5000 Employees,1972,Subsidiary or Business Segment,Insurance Carriers,"At MAPFRE Insurance we build relationships based on trust. We’re committed to providing high quality products and valuable services, as well as exceptional customer experiences.

MAPFRE Insurance originated in Massachusetts as The Commerce Group, Inc. (CGI), founded in the town of Webster, Massachusetts in 1972. We are the largest private passenger automobile insurer, homeowners’ insurer and commercial automobile insurer in Massachusetts. We offer property and casualty insurance in 19 states across the United States through a network of more than 4,200 independent agents and brokers. We are rated “A” (Excellent) by A.M. Best Company.

MAPFRE Insurance is part of the MAPFRE Group, an international insurer with business in 47 countries on five continents. The MAPFRE Group is the leading insurer in Spain. It is also the leading insurer in the non-life market in Latin America and the sixth largest non-life insurer in Europe.",$1 to $5 billion (USD),http://www.mapfreinsurance.com/,
OBMedia,"https://www.glassdoor.com/Overview/Working-at-OBMedia-EI_IE1037253.11,18.htm","Houston, TX",1 to 50 Employees,2007,Company - Private,Publishing,OBMedia uses AI to match consumers’ purchase intent with relevant CPC ads.,Unknown / Non-Applicable,https://www.obmedia.com/,
Novo Nordisk,"https://www.glassdoor.com/Overview/Working-at-Novo-Nordisk-EI_IE3498.11,23.htm","Bagsværd, Denmark",10000+ Employees,1923,Company - Public (NVO),Biotech & Pharmaceuticals,"Novo Nordisk is a global healthcare company with more than 90 years of innovation and leadership in diabetes care. This heritage has given us experience and capabilities that also enable us to help people defeat other serious chronic conditions: hemophilia, growth disorders and obesity.

Headquartered in Denmark, Novo Nordisk employs approximately 42,000 people in 77 countries and markets its products in more than 165 countries.",$10+ billion (USD),http://www.novonordisk.com/,
