ID,company_name,city,state,size,website,industry,revenue,founded,company_type,logo_url
1,KBI Biopharma,Durham,NC,"1,001-5,000 employees",http://www.kbibiopharma.com/,Biotechnology Research,Unknown,1996,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQF_mJOd2UXOXg/company-logo_200_200/0/1635209659306?e=1677715200&v=beta&t=epXDwRO5QY0lMh3B2pHYFD8HO-1Mns25cpoGTPWBU8o
2,DT Professional Services,Los Angeles,CA,11-50 employees,http://www.dtprosusa.com/,IT Services and IT Consulting,Unknown,2013,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQHjzvUcy-gpbg/company-logo_200_200/0/1519897338371?e=1677715200&v=beta&t=sE2V4wdDCpm4gNAk4m1Wwt6XFECr4mvsDXjJ9_R_iwk
3,Activision Blizzard Media,San Francisco,CA,51-200 employees,http://www.activisionblizzardmedia.com/,Advertising Services,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQFB0BBQMa_JvA/company-logo_200_200/0/1542121150661?e=1677715200&v=beta&t=DfHiHepaKNmZ6612xddp4W06CztzUxPXN3Wu9UUlRA8
4,"Voloridge Investment Management, LLC",Jupiter,FL,51-200 employees,http://www.voloridge.com/,Financial Services,Unknown,2009,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQGacKC1P5optA/company-logo_200_200/0/1581713549177?e=1677715200&v=beta&t=WBEo0up6TdC4UL2cHl_UzGQHsSisPTGQLhNobvEG-_U
5,Santee Cooper,Moncks Corner,SC,"1,001-5,000 employees",http://www.santeecooper.com/,Utilities,Unknown,1934,Unknown,https://media-exp1.licdn.com/dms/image/C4E0BAQHtgmCgF1Uqyg/company-logo_200_200/0/1519856580287?e=1677715200&v=beta&t=AhCxet4BsEIBi-wQQAVLlh1o5jUAAaV_0NnO1d4ZZog
6,BrainWorks,Unknown,Unknown,11-50 employees,http://www.brainworksinc.com/,Staffing and Recruiting,Unknown,1991,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQHZS8Pr6ss0JQ/company-logo_200_200/0/1587585622836?e=1677715200&v=beta&t=IUEUjwGz1CCR6HPqxhK-bDmoHMbEv3vUSIpHrfjmxLQ
7,AE Studio,Los Angeles,CA,51-200 employees,https://ae.studio/,Software Development,Unknown,2016,Unknown,https://media-exp1.licdn.com/dms/image/D4D0BAQG8JvAcbW9i4g/company-logo_200_200/0/1667589214627?e=1677715200&v=beta&t=9ijuKKO-EnzGX8MlFcKUOGrtTWrKurKV65oiY48ttu4
8,Chewy,Plantation,FL,"10,001+ employees",careers.chewy.com/,Retail,Unknown,2011,Unknown,https://media-exp1.licdn.com/dms/image/C4D0BAQGLd0ulL8wFyw/company-logo_200_200/0/1629734264472?e=1677715200&v=beta&t=jsWwQ6ja79OjkwoHdUmgXBPty6a28dwDaCeVhmcfPvA
9,Heath Consultants Incorporated,Houston,TX,"1,001-5,000 employees",https://heathus.com/,Oil and Gas,Unknown,1933,Unknown,https://media-exp1.licdn.com/dms/image/D560BAQG1W9aPe4iN1w/company-logo_200_200/0/1665160930174?e=1677715200&v=beta&t=QJQL9rxEOdDX6_N7hzEIjYvS2-LE33tvPUXYMl17pck
10,Numerator,Chicago,IL,"1,001-5,000 employees",https://www.numerator.com/,Market Research,Unknown,Unknown,Unknown,https://media-exp1.licdn.com/dms/image/C560BAQGpsGVksPQoWQ/company-logo_200_200/0/1656701410990?e=1677715200&v=beta&t=BhFBtjIY913CsWSsztVHyOPKimG8cc11ZZ7RqbA0f2s
