company_name,headquarters,website,size,industry,founded,description,url,img_url,state/area,city
KBI Biopharma,"Durham, NC",http://www.kbibiopharma.com,"1,001-5,000 employees",Biotechnology Research,1996.0,"KBI Biopharma is an award-winning biopharmaceutical contract services organization providing fully-integrated, accelerated drug development and biomanufacturing services to pharmaceutical and biotechnology companies globally.

With each of our 500+ client partners, we have worked closely to personalize and rapidly accelerate their drug development programs. Built upon a foundation of world-class analytical capabilities, we deliver efficient process development and clinical and commercial cGMP manufacturing services for mammalian, microbial, and cell therapy programs.

KBI is proud to be a JSR Life Sciences Company.",https://www.linkedin.com/company/kbi-biopharma/about,https://media-exp1.licdn.com/dms/image/C4D0BAQF_mJOd2UXOXg/company-logo_200_200/0/1635209659306?e=1677715200&v=beta&t=epXDwRO5QY0lMh3B2pHYFD8HO-1Mns25cpoGTPWBU8o,NC,Durham
DT Professional Services,"Los Angeles, California",http://www.dtprosusa.com,11-50 employees,IT Services and IT Consulting,2013.0,"DT Professional Services is a SBA 8(a) and HUBZone certified Small Disadvantaged Business. Our relentless commitment to quality, as evidenced by our CMMI Level 3 (Services) and ISO 9001:2015 & 27001:2103 certifications, enable us to build award-winning custom software solutions for our prestigious clients. Established in 2013, we bring over 50 years of cumulative experience in delivering technology services & solutions that specialize in web & custom application development, DevSecOps, Project/Program management, Mobile, Robotic Process Automation (RPA), Artificial Intelligence (AI), Machine Learning, Analytics, Advanced Analytics & Cloud Computing services.",https://www.linkedin.com/company/dt-professional-services/about,https://media-exp1.licdn.com/dms/image/C560BAQHjzvUcy-gpbg/company-logo_200_200/0/1519897338371?e=1677715200&v=beta&t=sE2V4wdDCpm4gNAk4m1Wwt6XFECr4mvsDXjJ9_R_iwk,CA,Los Angeles
Activision Blizzard Media,"San Francisco, CA",http://www.activisionblizzardmedia.com/,51-200 employees,Advertising Services,,"Activision Blizzard Media is the gateway for brands to the #1 cross-platform gaming company in the western world, with hundreds of millions of players across over 190 countries. Our legendary portfolio includes iconic mobile game franchises such as Candy Crush™, esports opportunities like the Call of Duty® and Overwatch® Leagues, and some of the top PC and console gaming franchises such as World of Warcraft®, Call of Duty®, and StarCraft®. The idea is simple: great game experiences offer great marketing experiences. ",https://www.linkedin.com/company/activision-blizzard-media/about,https://media-exp1.licdn.com/dms/image/C4E0BAQFB0BBQMa_JvA/company-logo_200_200/0/1542121150661?e=1677715200&v=beta&t=DfHiHepaKNmZ6612xddp4W06CztzUxPXN3Wu9UUlRA8,CA,San Francisco
"Voloridge Investment Management, LLC","Jupiter, FL",http://www.voloridge.com,51-200 employees,Financial Services,2009.0,"Voloridge Investment Management was launched in 2009 by David S. Vogel with the goal of creating a world-class quantitative and systematic investment management firm.  The firm is comprised of award-winning predictive modelers, experienced data analysts, technologists and a dynamic group of back-office professionals, all working together.  ",https://www.linkedin.com/company/voloridge-investment-management/about,https://media-exp1.licdn.com/dms/image/C4E0BAQGacKC1P5optA/company-logo_200_200/0/1581713549177?e=1677715200&v=beta&t=WBEo0up6TdC4UL2cHl_UzGQHsSisPTGQLhNobvEG-_U,FL,Jupiter
Prudential Financial,"Newark, New Jersey",http://www.prudential.com,"10,001+ employees",Financial Services,,"Prudential Financial (NYSE:PRU) was founded on the belief that financial security should be within reach for everyone, and for over 140 years, we have helped our customers reach their potential and tackle life's challenges for now and future generations to come. Today, we are one of the world’s largest financial services institutions, offering individual and institutional clients a wide array of financial products and services. With operations in the United States, Asia, Europe and Latin America, we are known for delivering on our promises to our customers, and are recognized as a trusted brand and one of the world’s most admired companies. We also have one of the most recognized and trusted brand symbols: The Rock®, an icon of strength, stability, expertise and innovation.  We measure our long-term success on our ability to deliver value for shareholders, meet customer needs, and attract and develop the best talent in our industry. We offer an inclusive work environment where employees can develop to their full potential, and give back to the communities where we live and work. (Pru.us/disclaimer)",https://www.linkedin.com/company/prudential-financial/about,https://media-exp1.licdn.com/dms/image/C4E0BAQGBxYL28x8h9g/company-logo_200_200/0/1519856408356?e=1677715200&v=beta&t=-UTNFFe6jQcIVjKra0h6Cve5rXohoIdo6ujugBCVKCI,NJ,Newark
Santee Cooper,"Moncks Corner, SC",http://www.santeecooper.com,"1,001-5,000 employees",Utilities,1934.0,"Santee Cooper is South Carolina’s largest power producer, the largest Green Power generator and the ultimate source of electricity for 2 million people across the state. Through its low-cost, reliable and environmentally responsible electricity and water services, and through innovative partnerships and initiatives that attract and retain industry and jobs, Santee Cooper powers South Carolina toward a bright tomorrow. Today.

By participating on Santee Cooper's LinkedIn page, you are agreeing to the following community guidelines: https://scpsa.us/35jRkvr",https://www.linkedin.com/company/santeecooper/about,https://media-exp1.licdn.com/dms/image/C4E0BAQHtgmCgF1Uqyg/company-logo_200_200/0/1519856580287?e=1677715200&v=beta&t=AhCxet4BsEIBi-wQQAVLlh1o5jUAAaV_0NnO1d4ZZog,SC,Moncks Corner
BrainWorks,,http://www.brainworksinc.com,11-50 employees,Staffing and Recruiting,1991.0,"Since 1991, BrainWorks has been providing smarter executive recruiting services in the practice areas of Consumer Insights, Consumer Products, Decision Sciences, Market Research, and Relationship Marketing.

We find leaders. And innovators. And do-ers. We help our clients find the people who will drive their future success.

At our core, we are executive recruiters. We find talent. 

Great jobs. Better insight. Exceptional support.
And at BrainWorks, we have the connections to lead you to exceptional career options in your field.
When you partner with BrainWorks, we act as your career advisor and opportunity scout. Our job is to find the opportunities that are the best match to your skills, experience and ambitions.

Better talent. Faster hires.
Our professional researchers will source the best talent in the field…not those just looking for work.
When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.

At BrainWorks, we pride ourselves on developing long-term consultative relationships that will help you enhance your career or assist your company to staff more strategically. When you partner with BrainWorks, your company receives business intelligence and industry expertise from professional search consultants who are trustworthy, caring and passionate about your success.",https://www.linkedin.com/company/brainworks/about,https://media-exp1.licdn.com/dms/image/C4D0BAQHZS8Pr6ss0JQ/company-logo_200_200/0/1587585622836?e=1677715200&v=beta&t=IUEUjwGz1CCR6HPqxhK-bDmoHMbEv3vUSIpHrfjmxLQ,,
AE Studio,"Los Angeles, California",https://ae.studio/,51-200 employees,Software Development,2016.0,"AE is a software development, data science, and design agency. That part is common. The rest is extraordinary. Founded in 2016, AE has bootstrapped its way to 150+ individuals working to increase human agency through technology. No venture capital. No private equity. No outside shareholders. This allows a longtermist perspective for clients and employees that leads to unparalleled thought-partnership and creativity.

Some of the profits from our consulting business are channeled into skunkworks - internal, agency increasing projects we incubate, turning our world-class team into founders themselves. Some are kept, some are sold! Like EletricSMS which we sold for a few million dollars. Profits from these ventures are deployed towards our big-hairy-audacious-goal: the development of a brain computer interface (BCI) operating system that increases agency rather than interruption of our thoughts with ads.

Let our agency increase yours.",https://www.linkedin.com/company/agency-enterprise-studio/about,https://media-exp1.licdn.com/dms/image/D4D0BAQG8JvAcbW9i4g/company-logo_200_200/0/1667589214627?e=1677715200&v=beta&t=9ijuKKO-EnzGX8MlFcKUOGrtTWrKurKV65oiY48ttu4,CA,Los Angeles
IntelliBridge,"McLean, Virginia",http://www.intellibridge.us,201-500 employees,IT Services and IT Consulting,,"IntelliBridge delivers IT strategy, cloud, cybersecurity, application, data and analytics, enterprise IT, intelligence analysis, and mission operation support services to accelerate technical performance and efficiency for Defense, Civilian, and National Security & Federal Law Enforcement clients. Whether it’s driving change through next-generation modernization; consolidating data centers; migrating customers to cloud-enabled environments; delivering trusted cybersecurity architectures, standing up 24×7 watch centers, or rapidly developing applications using DevSecOps and Agile methods, we deliver measurable results and superior outcomes.

We apply subject matter expertise, proven methodologies, and the latest technology to deliver innovative solutions synchronized with your mission. Our agile, forward-looking solutions balance affordability and mission requirements to solve your most complex challenges.

We are intensely focused on the details of each project. We take time to gain a thorough understanding of your unique requirements and then collaborate with you as a strategic partner. The resulting high-impact solutions optimize efficiencies while anticipating emerging developments. Our proven service delivery model ensures that your project is delivered on time, on target, and on budget.

The hallmark of our solutions is their end quality. We consistently apply proven processes, industry best practices, and hold recognized credentials including: CMMI Level 3 +SSD (SVC), ISO 9001:2015, and ISO/IEC 27001:2013.",https://www.linkedin.com/company/intellibridge/about,https://media-exp1.licdn.com/dms/image/C560BAQGitOBis5ryJQ/company-logo_200_200/0/1583339502672?e=1677715200&v=beta&t=-8QTNK56M1vOvGLiAhvdO8pcwlf_6w13n5o46U3MXrY,VA,McLean
Chewy,"Plantation, Florida",careers.chewy.com,"10,001+ employees",Retail,2011.0,"Launched in 2011, we offer the personalized service of a neighborhood pet store alongside the convenience and speed of e-commerce. Customers love shopping our wide selection of products of more than 45,000 items (including our Private brands and prescription Rx food and Rx medication products), which we offer at competitive prices, fast 1-2 day shipping and around-the-clock convenience that only e-commerce can offer.

Our commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need.

As an e­-commerce company, product innovation drives our operations, and our team is constantly striving to find new and better ways to improve our customers’ experience. From an easy­ to­ navigate website and highly­ rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.

We're also growing — fast. No longer a young pup, we're proud to be one of the fastest growing e-commerce companies of all time. 

With growth comes the exciting opportunity to be a part of a world-class organization of  diverse team members, responsible for driving our latest innovations and customer experiences.",https://www.linkedin.com/company/chewy-com/about,https://media-exp1.licdn.com/dms/image/C4D0BAQGLd0ulL8wFyw/company-logo_200_200/0/1629734264472?e=1677715200&v=beta&t=jsWwQ6ja79OjkwoHdUmgXBPty6a28dwDaCeVhmcfPvA,FL,Plantation
