ID,name,url,headquarter,size,founded,company_type,industry,description,revenue,company_url
1,American Career College,"https://www.glassdoor.com/Overview/Working-at-American-Career-College-EI_IE388910.11,34.htm","Irvine, CA",201 to 500 Employees,1978,College / University,Colleges & Universities,"American Career College (ACC) was founded more than 35 years ago and has prepared thousands of talented men and women for personally rewarding careers in health care.
American Career College has steadily grown through the years by adding faculty, curricula and campuses to address the growing need for highly skilled health care employees.
Today, with five locations in Southern California, along with degree and diploma programs in eleven major areas of health care, American Career College has become a leader in the demanding and challenging health care education field.",$5 to $25 million (USD),http://jobs.americancareercollege.edu/
2,Hayutin & Associates Inc,"https://www.glassdoor.com/Overview/Working-at-Hayutin-and-Associates-EI_IE1751816.11,33.htm","Santa Monica, CA",51 to 200 Employees,1997,Company - Private,Primary & Secondary Schools,"Founded by Matthew Hayutin in 1997, our company has grown carefully over the past two decades. Matthew’s sister Amy joined the team in 2005, transforming Hayutin into a family owned and operated business. Born and raised in Los Angeles, Matthew and Amy have forged deep relationships throughout the city with teachers, school administrators and allied professionals in education and related fields.",Less than $1 million (USD),http://www.hayutin.biz/
3,US Auto Trust,"https://www.glassdoor.com/Overview/Working-at-US-Auto-Trust-EI_IE7960734.11,24.htm","Los Angeles, CA",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.usautotrust.com/
4,Viking Cruises US,"https://www.glassdoor.com/Overview/Working-at-Viking-Cruises-EI_IE247518.11,25.htm","Woodland Hills, CA",5001 to 10000 Employees,1997,Self-employed,Hotels & Resorts,"JOIN OUR FAMILY
As the World’s Leading River Cruise Line® and the #1 Ocean Cruise Line, we are constantly innovating our business and growing our fleet. With more than 64 river ships and 5 ocean vessels cruising across 6 continents, we are the largest, most award-winning company in the industry. There is tremendous opportunity to join our dynamically growing company—whether on board our ships or in our corporate offices.

HISTORY
Viking Cruises was founded in Russia in 1997. The company established headquarters in Los Angeles, California in 2000 and through rapid expansion has enjoyed double-digit growth in recent years. With operational headquarters in Basel, Switzerland, Viking provides travel experiences for guests with an interest in geography, culture and history.",$25 to $100 million (USD),http://www.vikingcruises.com/
5,Uber,"https://www.glassdoor.com/Overview/Working-at-Uber-EI_IE575263.11,15.htm","San Francisco, CA",10000+ Employees,2009,Company - Public (UBER),Internet & Web Services,"Uber’s mission is to reimagine the way the world moves for the better. We started in 2010 to solve a simple problem: how do you get access to a ride at the touch of a button? More than 34 billion trips later, we’re building products to get people closer to where they want to be. ... Read more",$10+ billion (USD),http://www.uber.com/
6,Sodexo,"https://www.glassdoor.com/Overview/Working-at-Sodexo-EI_IE10351.11,17.htm","Gaithersburg, MD",10000+ Employees,1966,Company - Public (SDXAY),Catering & Food Service Contractors,"Founded in 1966 by Pierre Bellon in Marseilles, France, Sodexo is now the worldwide leader in Quality of Life services. For over 40 years, we have developed unique expertise, backed by nearly 420,000 employees in 56 countries across the globe.

In combining the diverse talents of our teams, Sodexo is the only company to integrate a complete offer of innovative services, based on over 100 professions. We develop, manage and deliver a unique array of On-site Services, Benefits & Rewards Services and Personal and Home Services for all our clients to improve the Quality of Life.

Our experiences with our over 100 million customers each and every day enable us to develop Quality of Life services that reinforce the well-being of individuals, improving their effectiveness and helping companies and organizations to improve performance - every day.",$10+ billion (USD),http://www.us.sodexo.com/
7,SoCalGas,"https://www.glassdoor.com/Overview/Working-at-Socalgas-EI_IE17032.11,19.htm","Los Angeles, CA",5001 to 10000 Employees,1929,Subsidiary or Business Segment,Energy & Utilities,"SoCalGas has served Central and Southern California as a responsible and engaged environmental leader, employer and neighbor.

With safe, clean, affordable, reliable and abundant domestic sources of natural gas, SoCalGas' innovation is fueling new possibilities in California.

Southern California is our home, too. We strive to improve the quality of life in our communities by maintaining a diverse workforce, working with suppliers that represent and reflect the communities we serve and giving back through our charitable contributions and employee volunteer activities . Like other investor-owned utilities in the state, SoCalGas' operations are regulated by the California Public Utilities Commission and other state and federal agencies.",$1 to $5 billion (USD),http://www.socalgas.com/
8,"Repipe Specialists, Inc.","https://www.glassdoor.com/Overview/Working-at-Plumbing-Tech-Repipe-Specialist-EI_IE2572198.11,42.htm","San Jose, CA",1 to 50 Employees,,Company - Private,Construction,,Unknown / Non-Applicable,http://www.plumbingtechbayarea.com/
9,"POSITIVE INVESTMENTS, INC.",,,,,,,,,
10,Confidential,,,,,,,,,
11,"MYHealthRecruiter, LLC",,,,,,,,,
12,"J. Paul Getty Trust, The","https://www.glassdoor.com/Overview/Working-at-J-Paul-Getty-Trust-EI_IE4713.11,29.htm","Los Angeles, CA",1001 to 5000 Employees,1954,Nonprofit Organization,Grantmaking & Charitable Foundations,"Founded by industrialist J. Paul Getty in 1954, the Getty started as a small museum in Malibu. Today we are the world's largest cultural and philanthropic organization dedicated to the visual arts. Through ambitious projects in Los Angeles and around the world—including conservation work, publications, exhibitions, grant initiatives, and training programs—we work to make a lasting difference in conservation practice, art historical research, and museology and to promote knowledge and appreciation of art among audiences of all ages. These efforts are undertaken through the collaborative and individual work of our constituent programs—the Getty Conservation Institute, the Getty Foundation, the J. Paul Getty Museum, and the Getty Research Institute.",Unknown / Non-Applicable,http://www.getty.edu/
13,CVS Health,"https://www.glassdoor.com/Overview/Working-at-CVS-Health-EI_IE437.11,21.htm","Woonsocket, RI",10000+ Employees,1963,Company - Public (CVS),Health Care Services & Hospitals,"It's a new day in health care.

At CVS Health, we bring our heart to every moment of your health. Inspired by our purpose and empowered by our bold strategy, we work to redefine the consumer experience and reimagine our community impact. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health. As a CVS Health colleague, you’ll be at the center of it all.",$10+ billion (USD),http://jobs.cvshealth.com/
14,Coalition for Humane Immigrant Rights of Los Angeles,,,,,,,,,
15,ZZ Fashion Corporation,,,,,,,,,
16,American International Industries,"https://www.glassdoor.com/Overview/Working-at-American-International-Industries-EI_IE21900.11,44.htm","Kemah, TX",51 to 200 Employees,,Company - Public (AMIN),Investment & Asset Management,"Nothing says Texas like oil and real estate. American International Industries (AII) covers those bases -- and more -- from its home in the Houston metro area. The company typically takes a controlling interest in undervalued companies; it holds investments in oil wells, real estate, and various industrial manufacturers. AII owns Delta Seaboard International (formerly Hammonds Industries), which operates technical services, fuel additives, and water treatment systems divisions. Its Northeastern Plastics subsidiary makes automotive after-market products. International Diversified Corporation (a firm connected with the brother of chairman and CEO Daniel Dror) owns 27% of the firm.",Less than $1 million (USD),http://www.americanii.com/
17,Palazzo Post Acute,"https://www.glassdoor.com/Overview/Working-at-Palazzo-Post-Acute-EI_IE6084763.11,29.htm","Los Angeles, CA",Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.palazzopostacute.com/
18,Los Angeles Dental Academy,,,,,,,,,
19,"Winstar Properties, LLC.","https://www.glassdoor.com/Overview/Working-at-Winstar-Properties-EI_IE1278011.11,29.htm","Los Angeles, CA",1 to 50 Employees,2012,Company - Private,Real Estate,Winstar Properties is a full service Real Estate investment and property management firm.,Unknown / Non-Applicable,http://www.winstarproperties.com/
20,Pasadena Unified School District,"https://www.glassdoor.com/Overview/Working-at-Pasadena-Unified-School-District-EI_IE211836.11,43.htm","Pasadena, CA",Unknown,,School / School District,Primary & Secondary Schools,,Unknown / Non-Applicable,http://www.pusd.us/
21,DEELS Properties,,,,,,,,,
